query,Product Inquiry,Order Tracking,Refund Request,Store Policy
"Product I received is different from the one that I placed order, need help with refund and System shows that order is delivered but I have not reveived any order",0,1,1,0
"Do you offer free shipping? and Product I received is different from the one that I placed order, need help with refund",0,0,1,1
what are the different color options that are avaliable for the product? and Where is my order?,1,1,0,0
How do I get a refund? and Do you offer free shipping? and I've been waiting for the order long time,0,1,1,1
I don't what this product anymore and Expected avaliability date for the product,1,0,1,0
How do I get a refund?,0,0,1,0
How do I get a refund? and Can you provide the tracking details? and What are the delivery charges?,0,1,1,1
When I can expect the refund to be processed,0,0,1,0
When I can expect the refund to be processed and Can you provide the tracking details?,0,1,1,0
"Product I received is different from the one that I placed order, need help with refund and Help me with the products that have discounts",1,0,1,0
What is the process for a refund? and Help me with the products that have discounts and System shows that order is delivered but I have not reveived any order,1,1,1,0
How long will delivery take? and I don't what this product anymore,0,1,1,0
How do I get a refund? and I want to check the status of my shipment. and Is this phone available?,1,1,1,0
what are the different color options that are avaliable for the product? and I don't what this product anymore and Can you explain your warranty terms?,1,0,1,1
"What is your return policy? and Can you provide the tracking details? and Product I received is different from the one that I placed order, need help with refund",0,1,1,1
Do you offer free shipping?,0,0,0,1
"It's been long time since I have raised the refund, but amount is not credited",0,0,1,0
"What are the delivery charges? and It's been long time since I have raised the refund, but amount is not credited",0,0,1,1
Do you have this product in stock? and Where is my order? and What are the options for free delivery,1,1,0,1
"There is delay in the order delivery, can you please let me know the reason and What are the options for free delivery",0,1,0,1
Where is my order? and what are the different color options that are avaliable for the product?,1,1,0,0
What are the delivery charges?,0,0,0,1
"Product I received is different from the one that I placed order, need help with refund and What are the delivery charges? and Where is my order?",0,1,1,1
How long will delivery take?,0,1,0,0
I've been waiting for the order long time and what are the different color options that are avaliable for the product?,1,1,0,0
Can I cancel my order and get a refund?,0,0,1,0
"What are the delivery charges? and It's been long time since I have raised the refund, but amount is not credited and Is this phone available?",1,0,1,1
Can I return my order? and Expected avaliability date for the product,1,0,1,0
Help me with the products that have discounts,1,0,0,0
Can you explain your warranty terms? and I've been waiting for the order long time and Can I cancel my order and get a refund?,0,1,1,1
Expected avaliability date for the product and Can you explain your warranty terms?,1,0,0,1
"Product I received is different from the one that I placed order, need help with refund and Do you offer free shipping?",0,0,1,1
Can you explain your warranty terms? and Can I cancel my order and get a refund? and Expected avaliability date for the product,1,0,1,1
"There is delay in the order delivery, can you please let me know the reason and Help me with the products that have discounts",1,1,0,0
System shows that order is delivered but I have not reveived any order,0,1,0,0
What is the price of the new headphones? and System shows that order is delivered but I have not reveived any order,1,1,0,0
I don't what this product anymore,0,0,1,0
"Product I received is different from the one that I placed order, need help with refund",0,0,1,0
What are the options for free delivery and Is this phone available? and How long will delivery take?,1,1,0,1
How do I get a refund?,0,0,1,0
What are the delivery charges?,0,0,0,1
System shows that order is delivered but I have not reveived any order,0,1,0,0
System shows that order is delivered but I have not reveived any order and Help me with the products that have discounts,1,1,0,0
What is your return policy?,0,0,0,1
Can you provide the tracking details? and Do you have this product in stock? and Can you explain your warranty terms?,1,1,0,1
what are the different color options that are avaliable for the product?,1,0,0,0
What is the price of the new headphones? and Can you provide the tracking details? and I don't what this product anymore,1,1,1,0
What are the delivery charges?,0,0,0,1
I want to check the status of my shipment.,0,1,0,0
Can I return my order?,0,0,1,0
Can I return my order? and I want to check the status of my shipment. and Is this phone available?,1,1,1,0
I don't what this product anymore and Can you explain your warranty terms?,0,0,1,1
"What is your return policy? and Product I received is different from the one that I placed order, need help with refund and what are the different color options that are avaliable for the product?",1,0,1,1
"There is delay in the order delivery, can you please let me know the reason and Can I return my order?",0,1,1,0
Do you offer free shipping?,0,0,0,1
Do you offer free shipping?,0,0,0,1
System shows that order is delivered but I have not reveived any order,0,1,0,0
"It's been long time since I have raised the refund, but amount is not credited and What is the price of the new headphones? and System shows that order is delivered but I have not reveived any order",1,1,1,0
Can you explain your warranty terms? and Expected avaliability date for the product and I want to check the status of my shipment.,1,1,0,1
"There is delay in the order delivery, can you please let me know the reason",0,1,0,0
Help me with the products that have discounts,1,0,0,0
Can I cancel my order and get a refund? and What are the delivery charges?,0,0,1,1
What are the delivery charges?,0,0,0,1
What is your return policy? and System shows that order is delivered but I have not reveived any order and When I can expect the refund to be processed,0,1,1,1
"When I can expect the refund to be processed and There is delay in the order delivery, can you please let me know the reason and Expected avaliability date for the product",1,1,1,0
Help me with the products that have discounts,1,0,0,0
I've been waiting for the order long time and Help me with the products that have discounts and What is your return policy?,1,1,0,1
"Help me with the products that have discounts and Can you explain your warranty terms? and There is delay in the order delivery, can you please let me know the reason",1,1,0,1
System shows that order is delivered but I have not reveived any order and What is the price of the new headphones? and What is your return policy?,1,1,0,1
Can you provide the tracking details? and Help me with the products that have discounts and What is the process for a refund?,1,1,1,0
How do I get a refund? and Can you provide the tracking details? and What is your return policy?,0,1,1,1
"Help me with the products that have discounts and What are the delivery charges? and There is delay in the order delivery, can you please let me know the reason",1,1,0,1
What is the price of the new headphones? and I've been waiting for the order long time and Can I return my order?,1,1,1,0
"What are the features of this laptop? and Product I received is different from the one that I placed order, need help with refund and What is your return policy?",1,0,1,1
How long will delivery take?,0,1,0,0
Where is my order?,0,1,0,0
How do I get a refund? and Can you provide the tracking details?,0,1,1,0
Can you explain your warranty terms? and Can I return my order?,0,0,1,1
What are the options for free delivery,0,0,0,1
Can you explain your warranty terms?,0,0,0,1
What is your return policy?,0,0,0,1
What is the price of the new headphones? and What are the delivery charges? and I want to check the status of my shipment.,1,1,0,1
Where is my order? and Expected avaliability date for the product,1,1,0,0
Where is my order? and Can I cancel my order and get a refund? and What is the price of the new headphones?,1,1,1,0
"There is delay in the order delivery, can you please let me know the reason and Help me with the products that have discounts and What are the delivery charges?",1,1,0,1
What is the process for a refund?,0,0,1,0
Where is my order? and Do you offer free shipping?,0,1,0,1
"Do you offer free shipping? and It's been long time since I have raised the refund, but amount is not credited",0,0,1,1
What are the options for free delivery and How long will delivery take? and Expected avaliability date for the product,1,1,0,1
"What is your return policy? and There is delay in the order delivery, can you please let me know the reason and Do you have this product in stock?",1,1,0,1
Is this phone available? and Can I return my order?,1,0,1,0
Can you provide the tracking details? and Do you offer free shipping? and Do you have this product in stock?,1,1,0,1
What is your return policy?,0,0,0,1
"Do you offer free shipping? and Product I received is different from the one that I placed order, need help with refund and Do you have this product in stock?",1,0,1,1
What are the features of this laptop?,1,0,0,0
I don't what this product anymore and I've been waiting for the order long time,0,1,1,0
Can I return my order?,0,0,1,0
What is the process for a refund? and Can you provide the tracking details?,0,1,1,0
Can you explain your warranty terms?,0,0,0,1
What are the options for free delivery and what are the different color options that are avaliable for the product?,1,0,0,1
"System shows that order is delivered but I have not reveived any order and Product I received is different from the one that I placed order, need help with refund and What are the features of this laptop?",1,1,1,0
What is your return policy? and I've been waiting for the order long time,0,1,0,1
"How long will delivery take? and It's been long time since I have raised the refund, but amount is not credited and Expected avaliability date for the product",1,1,1,0
Do you offer free shipping?,0,0,0,1
How do I get a refund?,0,0,1,0
Can you provide the tracking details? and Expected avaliability date for the product,1,1,0,0
"There is delay in the order delivery, can you please let me know the reason and What is the price of the new headphones?",1,1,0,0
"Can you explain your warranty terms? and Product I received is different from the one that I placed order, need help with refund and I want to check the status of my shipment.",0,1,1,1
Expected avaliability date for the product,1,0,0,0
Where is my order?,0,1,0,0
Do you offer free shipping?,0,0,0,1
"Product I received is different from the one that I placed order, need help with refund and Do you have this product in stock? and I want to check the status of my shipment.",1,1,1,0
Can you explain your warranty terms? and Can I return my order?,0,0,1,1
I want to check the status of my shipment. and what are the different color options that are avaliable for the product? and How do I get a refund?,1,1,1,0
"System shows that order is delivered but I have not reveived any order and Do you offer free shipping? and It's been long time since I have raised the refund, but amount is not credited",0,1,1,1
What is the price of the new headphones?,1,0,0,0
What are the delivery charges?,0,0,0,1
Do you have this product in stock? and What is the process for a refund? and What are the delivery charges?,1,0,1,1
"It's been long time since I have raised the refund, but amount is not credited and I've been waiting for the order long time",0,1,1,0
Is this phone available?,1,0,0,0
I want to check the status of my shipment. and I don't what this product anymore and Help me with the products that have discounts,1,1,1,0
System shows that order is delivered but I have not reveived any order and What are the features of this laptop? and What are the delivery charges?,1,1,0,1
How long will delivery take?,0,1,0,0
I want to check the status of my shipment. and Is this phone available?,1,1,0,0
"Do you have this product in stock? and There is delay in the order delivery, can you please let me know the reason and Can I cancel my order and get a refund?",1,1,1,0
Can you explain your warranty terms? and How long will delivery take? and Expected avaliability date for the product,1,1,0,1
System shows that order is delivered but I have not reveived any order,0,1,0,0
"I don't what this product anymore and There is delay in the order delivery, can you please let me know the reason and What are the options for free delivery",0,1,1,1
"I've been waiting for the order long time and Product I received is different from the one that I placed order, need help with refund and Do you offer free shipping?",0,1,1,1
Can I return my order? and I want to check the status of my shipment.,0,1,1,0
Can you explain your warranty terms?,0,0,0,1
"What are the options for free delivery and It's been long time since I have raised the refund, but amount is not credited and Expected avaliability date for the product",1,0,1,1
Can you explain your warranty terms? and When I can expect the refund to be processed,0,0,1,1
Is this phone available? and What are the delivery charges? and When I can expect the refund to be processed,1,0,1,1
What is your return policy? and Do you have this product in stock?,1,0,0,1
Is this phone available? and What are the delivery charges?,1,0,0,1
I've been waiting for the order long time,0,1,0,0
Is this phone available? and Can I cancel my order and get a refund?,1,0,1,0
"It's been long time since I have raised the refund, but amount is not credited and Can you provide the tracking details?",0,1,1,0
"It's been long time since I have raised the refund, but amount is not credited and Can you explain your warranty terms? and Where is my order?",0,1,1,1
"There is delay in the order delivery, can you please let me know the reason and Can I cancel my order and get a refund?",0,1,1,0
"There is delay in the order delivery, can you please let me know the reason and what are the different color options that are avaliable for the product?",1,1,0,0
"System shows that order is delivered but I have not reveived any order and What are the delivery charges? and It's been long time since I have raised the refund, but amount is not credited",0,1,1,1
"Product I received is different from the one that I placed order, need help with refund",0,0,1,0
What are the options for free delivery,0,0,0,1
How long will delivery take? and I don't what this product anymore,0,1,1,0
System shows that order is delivered but I have not reveived any order,0,1,0,0
Can I return my order? and Do you have this product in stock? and I've been waiting for the order long time,1,1,1,0
How do I get a refund?,0,0,1,0
"Product I received is different from the one that I placed order, need help with refund",0,0,1,0
Help me with the products that have discounts and Can you provide the tracking details? and Can you explain your warranty terms?,1,1,0,1
What is the price of the new headphones? and Where is my order? and How do I get a refund?,1,1,1,0
"Product I received is different from the one that I placed order, need help with refund and Help me with the products that have discounts",1,0,1,0
"Help me with the products that have discounts and It's been long time since I have raised the refund, but amount is not credited",1,0,1,0
"Product I received is different from the one that I placed order, need help with refund",0,0,1,0
Help me with the products that have discounts and What are the options for free delivery,1,0,0,1
Can you explain your warranty terms?,0,0,0,1
"Do you have this product in stock? and When I can expect the refund to be processed and There is delay in the order delivery, can you please let me know the reason",1,1,1,0
What is the price of the new headphones? and How long will delivery take? and Can you explain your warranty terms?,1,1,0,1
When I can expect the refund to be processed and I've been waiting for the order long time,0,1,1,0
What is your return policy?,0,0,0,1
Help me with the products that have discounts and I don't what this product anymore and Where is my order?,1,1,1,0
I've been waiting for the order long time and What are the options for free delivery,0,1,0,1
Can I return my order? and Do you offer free shipping?,0,0,1,1
"Do you offer free shipping? and There is delay in the order delivery, can you please let me know the reason",0,1,0,1
what are the different color options that are avaliable for the product? and What is your return policy? and Can you provide the tracking details?,1,1,0,1
Is this phone available?,1,0,0,0
"What is your return policy? and What is the price of the new headphones? and There is delay in the order delivery, can you please let me know the reason",1,1,0,1
What are the options for free delivery,0,0,0,1
what are the different color options that are avaliable for the product? and Do you offer free shipping?,1,0,0,1
Can I return my order? and Do you offer free shipping? and What are the features of this laptop?,1,0,1,1
"Where is my order? and Product I received is different from the one that I placed order, need help with refund",0,1,1,0
Do you offer free shipping?,0,0,0,1
Can I cancel my order and get a refund? and Can you provide the tracking details? and What are the features of this laptop?,1,1,1,0
What is the process for a refund?,0,0,1,0
I've been waiting for the order long time and What are the delivery charges?,0,1,0,1
I've been waiting for the order long time and What are the delivery charges?,0,1,0,1
What are the options for free delivery,0,0,0,1
When I can expect the refund to be processed,0,0,1,0
"There is delay in the order delivery, can you please let me know the reason and What is the price of the new headphones?",1,1,0,0
"Can you explain your warranty terms? and Help me with the products that have discounts and It's been long time since I have raised the refund, but amount is not credited",1,0,1,1
What are the features of this laptop? and What are the options for free delivery and Can I cancel my order and get a refund?,1,0,1,1
"How long will delivery take? and Product I received is different from the one that I placed order, need help with refund",0,1,1,0
Can I return my order?,0,0,1,0
System shows that order is delivered but I have not reveived any order and What are the delivery charges?,0,1,0,1
"What is your return policy? and What is the price of the new headphones? and There is delay in the order delivery, can you please let me know the reason",1,1,0,1
Can I cancel my order and get a refund? and System shows that order is delivered but I have not reveived any order and Do you offer free shipping?,0,1,1,1
"What are the options for free delivery and Product I received is different from the one that I placed order, need help with refund",0,0,1,1
Can I cancel my order and get a refund?,0,0,1,0
Can I cancel my order and get a refund?,0,0,1,0
Can I cancel my order and get a refund? and I want to check the status of my shipment. and Is this phone available?,1,1,1,0
Can I return my order?,0,0,1,0
"There is delay in the order delivery, can you please let me know the reason and I don't what this product anymore",0,1,1,0
I want to check the status of my shipment. and Do you have this product in stock?,1,1,0,0
Can you explain your warranty terms? and Is this phone available?,1,0,0,1
What is your return policy? and Where is my order? and Help me with the products that have discounts,1,1,0,1
Where is my order?,0,1,0,0
"Do you have this product in stock? and Can I return my order? and There is delay in the order delivery, can you please let me know the reason",1,1,1,0
"There is delay in the order delivery, can you please let me know the reason and What is your return policy?",0,1,0,1
Do you have this product in stock?,1,0,0,0
Can you provide the tracking details? and Can I return my order? and What are the features of this laptop?,1,1,1,0
"Product I received is different from the one that I placed order, need help with refund and What are the delivery charges? and Is this phone available?",1,0,1,1
I don't what this product anymore and What is your return policy? and Where is my order?,0,1,1,1
What is your return policy?,0,0,0,1
Is this phone available? and What is the process for a refund?,1,0,1,0
What are the options for free delivery,0,0,0,1
"It's been long time since I have raised the refund, but amount is not credited and Can you explain your warranty terms?",0,0,1,1
Do you offer free shipping? and Is this phone available? and What is the process for a refund?,1,0,1,1
Can you explain your warranty terms? and How long will delivery take?,0,1,0,1
What is your return policy?,0,0,0,1
"What are the options for free delivery and What are the features of this laptop? and There is delay in the order delivery, can you please let me know the reason",1,1,0,1
What are the options for free delivery and Can you provide the tracking details? and What is the price of the new headphones?,1,1,0,1
Can you provide the tracking details? and What is the process for a refund?,0,1,1,0
What is the process for a refund? and Can you explain your warranty terms?,0,0,1,1
How do I get a refund? and what are the different color options that are avaliable for the product?,1,0,1,0
"It's been long time since I have raised the refund, but amount is not credited and I've been waiting for the order long time",0,1,1,0
Do you offer free shipping? and System shows that order is delivered but I have not reveived any order,0,1,0,1
"Product I received is different from the one that I placed order, need help with refund and There is delay in the order delivery, can you please let me know the reason",0,1,1,0
"Is this phone available? and Product I received is different from the one that I placed order, need help with refund and Can you provide the tracking details?",1,1,1,0
Can I return my order? and Do you have this product in stock? and How long will delivery take?,1,1,1,0
Is this phone available? and I don't what this product anymore and Where is my order?,1,1,1,0
"Product I received is different from the one that I placed order, need help with refund and What are the delivery charges?",0,0,1,1
"Help me with the products that have discounts and There is delay in the order delivery, can you please let me know the reason",1,1,0,0
"There is delay in the order delivery, can you please let me know the reason",0,1,0,0
What is the price of the new headphones? and I want to check the status of my shipment.,1,1,0,0
Do you offer free shipping? and I don't what this product anymore,0,0,1,1
"What is your return policy? and Product I received is different from the one that I placed order, need help with refund and Do you have this product in stock?",1,0,1,1
What are the features of this laptop? and What is your return policy?,1,0,0,1
"There is delay in the order delivery, can you please let me know the reason and I don't what this product anymore",0,1,1,0
What are the features of this laptop? and System shows that order is delivered but I have not reveived any order and Do you offer free shipping?,1,1,0,1
System shows that order is delivered but I have not reveived any order,0,1,0,0
How do I get a refund?,0,0,1,0
Can you explain your warranty terms? and Expected avaliability date for the product and Can you provide the tracking details?,1,1,0,1
What are the features of this laptop? and Can I return my order? and How long will delivery take?,1,1,1,0
Can I return my order? and Expected avaliability date for the product,1,0,1,0
What are the options for free delivery and Can I return my order?,0,0,1,1
I've been waiting for the order long time and What is your return policy? and Can I cancel my order and get a refund?,0,1,1,1
I've been waiting for the order long time and Do you offer free shipping? and Can I return my order?,0,1,1,1
Can you explain your warranty terms? and What is the price of the new headphones?,1,0,0,1
What is the price of the new headphones? and Can you explain your warranty terms? and What is the process for a refund?,1,0,1,1
Is this phone available?,1,0,0,0
Help me with the products that have discounts and What is your return policy?,1,0,0,1
I've been waiting for the order long time and What are the options for free delivery and Is this phone available?,1,1,0,1
What is the price of the new headphones? and What is your return policy? and When I can expect the refund to be processed,1,0,1,1
Can you provide the tracking details?,0,1,0,0
Do you offer free shipping?,0,0,0,1
How do I get a refund?,0,0,1,0
What are the delivery charges? and I've been waiting for the order long time and Is this phone available?,1,1,0,1
How do I get a refund? and Can you provide the tracking details? and Expected avaliability date for the product,1,1,1,0
what are the different color options that are avaliable for the product? and What are the delivery charges?,1,0,0,1
"Do you have this product in stock? and Can I return my order? and There is delay in the order delivery, can you please let me know the reason",1,1,1,0
How long will delivery take?,0,1,0,0
What are the options for free delivery and How long will delivery take?,0,1,0,1
What is the process for a refund? and What are the delivery charges? and System shows that order is delivered but I have not reveived any order,0,1,1,1
I've been waiting for the order long time and What is your return policy?,0,1,0,1
Is this phone available?,1,0,0,0
I don't what this product anymore,0,0,1,0
"Help me with the products that have discounts and There is delay in the order delivery, can you please let me know the reason",1,1,0,0
Is this phone available?,1,0,0,0
What is the process for a refund? and I want to check the status of my shipment. and Can you explain your warranty terms?,0,1,1,1
"It's been long time since I have raised the refund, but amount is not credited",0,0,1,0
Help me with the products that have discounts,1,0,0,0
Can you explain your warranty terms?,0,0,0,1
Can you explain your warranty terms? and Can you provide the tracking details? and what are the different color options that are avaliable for the product?,1,1,0,1
"Expected avaliability date for the product and There is delay in the order delivery, can you please let me know the reason",1,1,0,0
What is the process for a refund? and System shows that order is delivered but I have not reveived any order and Can you explain your warranty terms?,0,1,1,1
How long will delivery take? and What are the options for free delivery and How do I get a refund?,0,1,1,1
"what are the different color options that are avaliable for the product? and Product I received is different from the one that I placed order, need help with refund and What are the delivery charges?",1,0,1,1
Can you explain your warranty terms? and what are the different color options that are avaliable for the product? and Can you provide the tracking details?,1,1,0,1
"It's been long time since I have raised the refund, but amount is not credited and What is your return policy?",0,0,1,1
System shows that order is delivered but I have not reveived any order and what are the different color options that are avaliable for the product?,1,1,0,0
"There is delay in the order delivery, can you please let me know the reason",0,1,0,0
When I can expect the refund to be processed and System shows that order is delivered but I have not reveived any order,0,1,1,0
Can you provide the tracking details? and Can I return my order? and What are the delivery charges?,0,1,1,1
Do you offer free shipping?,0,0,0,1
"There is delay in the order delivery, can you please let me know the reason and I don't what this product anymore",0,1,1,0
Help me with the products that have discounts,1,0,0,0
System shows that order is delivered but I have not reveived any order,0,1,0,0
Expected avaliability date for the product and What are the options for free delivery and I want to check the status of my shipment.,1,1,0,1
"Expected avaliability date for the product and There is delay in the order delivery, can you please let me know the reason and What are the delivery charges?",1,1,0,1
I've been waiting for the order long time and Can I return my order? and Expected avaliability date for the product,1,1,1,0
Can I return my order?,0,0,1,0
What is the process for a refund? and I want to check the status of my shipment.,0,1,1,0
What are the features of this laptop? and Can you explain your warranty terms? and I want to check the status of my shipment.,1,1,0,1
I want to check the status of my shipment.,0,1,0,0
Where is my order? and Is this phone available?,1,1,0,0
"Expected avaliability date for the product and What are the options for free delivery and Product I received is different from the one that I placed order, need help with refund",1,0,1,1
What is your return policy?,0,0,0,1
Can I return my order? and What are the delivery charges?,0,0,1,1
What is the price of the new headphones? and What is the process for a refund? and How long will delivery take?,1,1,1,0
What are the options for free delivery and I want to check the status of my shipment.,0,1,0,1
Where is my order?,0,1,0,0
Help me with the products that have discounts and How long will delivery take?,1,1,0,0
"Product I received is different from the one that I placed order, need help with refund and What are the features of this laptop? and System shows that order is delivered but I have not reveived any order",1,1,1,0
What are the features of this laptop? and Can I return my order? and Where is my order?,1,1,1,0
Do you offer free shipping?,0,0,0,1
"Product I received is different from the one that I placed order, need help with refund",0,0,1,0
What are the features of this laptop? and What is the process for a refund? and I've been waiting for the order long time,1,1,1,0
"What are the delivery charges? and Product I received is different from the one that I placed order, need help with refund and Is this phone available?",1,0,1,1
What are the features of this laptop? and I've been waiting for the order long time and Can you explain your warranty terms?,1,1,0,1
I want to check the status of my shipment. and Can you explain your warranty terms?,0,1,0,1
What is the price of the new headphones? and Can you explain your warranty terms?,1,0,0,1
Do you offer free shipping? and I don't what this product anymore and I've been waiting for the order long time,0,1,1,1
Help me with the products that have discounts and Can you provide the tracking details?,1,1,0,0
What are the features of this laptop? and What is your return policy? and I don't what this product anymore,1,0,1,1
"What are the options for free delivery and It's been long time since I have raised the refund, but amount is not credited",0,0,1,1
Do you offer free shipping? and I don't what this product anymore and What are the features of this laptop?,1,0,1,1
Do you have this product in stock? and How do I get a refund? and What is your return policy?,1,0,1,1
Where is my order?,0,1,0,0
Expected avaliability date for the product and What is your return policy?,1,0,0,1
Do you offer free shipping?,0,0,0,1
Can you explain your warranty terms?,0,0,0,1
System shows that order is delivered but I have not reveived any order and What are the options for free delivery,0,1,0,1
What is your return policy? and Where is my order?,0,1,0,1
What are the features of this laptop? and Can you explain your warranty terms?,1,0,0,1
When I can expect the refund to be processed and What is your return policy?,0,0,1,1
What is the process for a refund?,0,0,1,0
"What are the delivery charges? and There is delay in the order delivery, can you please let me know the reason",0,1,0,1
I want to check the status of my shipment. and What is the process for a refund? and Is this phone available?,1,1,1,0
What is the price of the new headphones? and What are the delivery charges?,1,0,0,1
Can I return my order? and What are the delivery charges?,0,0,1,1
I want to check the status of my shipment. and Help me with the products that have discounts,1,1,0,0
Do you offer free shipping?,0,0,0,1
I want to check the status of my shipment. and What are the options for free delivery and I don't what this product anymore,0,1,1,1
What is your return policy?,0,0,0,1
"I've been waiting for the order long time and Do you have this product in stock? and It's been long time since I have raised the refund, but amount is not credited",1,1,1,0
Can you explain your warranty terms? and Can I return my order? and I want to check the status of my shipment.,0,1,1,1
Do you offer free shipping? and How do I get a refund?,0,0,1,1
"Where is my order? and Product I received is different from the one that I placed order, need help with refund",0,1,1,0
I've been waiting for the order long time,0,1,0,0
Can you explain your warranty terms? and Help me with the products that have discounts,1,0,0,1
What are the options for free delivery and Do you have this product in stock?,1,0,0,1
Expected avaliability date for the product and System shows that order is delivered but I have not reveived any order,1,1,0,0
Do you offer free shipping?,0,0,0,1
What is your return policy? and Expected avaliability date for the product,1,0,0,1
When I can expect the refund to be processed and I want to check the status of my shipment. and What are the delivery charges?,0,1,1,1
I've been waiting for the order long time and How do I get a refund? and Expected avaliability date for the product,1,1,1,0
What is your return policy? and How do I get a refund?,0,0,1,1
Can I cancel my order and get a refund?,0,0,1,0
Is this phone available? and I want to check the status of my shipment.,1,1,0,0
What are the delivery charges?,0,0,0,1
I don't what this product anymore and Do you offer free shipping?,0,0,1,1
What are the options for free delivery,0,0,0,1
Help me with the products that have discounts and How long will delivery take? and Can I cancel my order and get a refund?,1,1,1,0
what are the different color options that are avaliable for the product?,1,0,0,0
Can I return my order? and Do you offer free shipping?,0,0,1,1
What are the options for free delivery and Do you have this product in stock? and Where is my order?,1,1,0,1
What is your return policy? and Expected avaliability date for the product,1,0,0,1
What is your return policy? and Can I cancel my order and get a refund?,0,0,1,1
Can I cancel my order and get a refund? and What are the features of this laptop?,1,0,1,0
"What are the delivery charges? and There is delay in the order delivery, can you please let me know the reason and When I can expect the refund to be processed",0,1,1,1
"What is the price of the new headphones? and What are the options for free delivery and There is delay in the order delivery, can you please let me know the reason",1,1,0,1
Can you explain your warranty terms?,0,0,0,1
I want to check the status of my shipment. and What is the price of the new headphones?,1,1,0,0
Can I cancel my order and get a refund? and What is the price of the new headphones? and Where is my order?,1,1,1,0
Can you explain your warranty terms?,0,0,0,1
Do you offer free shipping?,0,0,0,1
Can you explain your warranty terms? and What are the features of this laptop? and Can I return my order?,1,0,1,1
Can you explain your warranty terms? and Can you provide the tracking details?,0,1,0,1
I want to check the status of my shipment.,0,1,0,0
What is the price of the new headphones?,1,0,0,0
Where is my order? and Do you offer free shipping?,0,1,0,1
I don't what this product anymore,0,0,1,0
What is the process for a refund? and what are the different color options that are avaliable for the product? and Do you offer free shipping?,1,0,1,1
I want to check the status of my shipment. and Can I cancel my order and get a refund?,0,1,1,0
"Do you offer free shipping? and Help me with the products that have discounts and It's been long time since I have raised the refund, but amount is not credited",1,0,1,1
"It's been long time since I have raised the refund, but amount is not credited and Where is my order?",0,1,1,0
I've been waiting for the order long time and Can you explain your warranty terms?,0,1,0,1
Help me with the products that have discounts and How do I get a refund? and Can you explain your warranty terms?,1,0,1,1
Do you offer free shipping?,0,0,0,1
When I can expect the refund to be processed,0,0,1,0
System shows that order is delivered but I have not reveived any order,0,1,0,0
I've been waiting for the order long time and Do you have this product in stock?,1,1,0,0
What is your return policy? and what are the different color options that are avaliable for the product? and How long will delivery take?,1,1,0,1
"Product I received is different from the one that I placed order, need help with refund",0,0,1,0
"Help me with the products that have discounts and It's been long time since I have raised the refund, but amount is not credited and Do you offer free shipping?",1,0,1,1
Can you explain your warranty terms? and I don't what this product anymore,0,0,1,1
System shows that order is delivered but I have not reveived any order,0,1,0,0
"There is delay in the order delivery, can you please let me know the reason",0,1,0,0
"What is your return policy? and It's been long time since I have raised the refund, but amount is not credited and How long will delivery take?",0,1,1,1
Do you offer free shipping? and Where is my order?,0,1,0,1
"What are the options for free delivery and What are the features of this laptop? and Product I received is different from the one that I placed order, need help with refund",1,0,1,1
I don't what this product anymore,0,0,1,0
"I don't what this product anymore and What are the options for free delivery and There is delay in the order delivery, can you please let me know the reason",0,1,1,1
